"title","author","recipient","description","iso.date","type","tag","extent","wms","uri","doi","relation","publisher","rights","image_url"
"Pickard, Kate E.R., letter, Camillus, [N.Y.], January 29, 1853, to ""Uncle Peter"" [Peter Still]:","Pickard, Kate E. R.","","Kate Pickard acknowledges receiving Peter Still’s letter; relates information from her sister Julia, in Tuscumbia or vicinity, regarding a Dr. Hargraves and a Judge Weakley there who are sympathetic to his cause; acknowledges that the higher price of 5,000 dollars quoted to Mr. Thornton for Peter’s enslaved family after the ""attempt to run them off"" [help them run away] is probably really meant by Maj. McKiernan; counsels Peter not to loose his patience or temper; and quotes from Julia's letter (including some information about people in Tuscumbia).","1853-01-29","Text","Correspondence","4 p.","rutgers-lib:26578","http://hdl.rutgers.edu/1782.1/rucore00000002022.Manuscript.000051490","doi:10.7282/T3RB74RJ","Peter Still papers, 1850-1875","Rutgers Community Repository (RUcore)","public domain","http://francescagiannetti.com/still/plugins/Dropbox/files/26578.pdf"
"Webster, Fletcher, note, Boston, January 31, 1853:","Webster, Fletcher, 1813-1862","","Fletcher Webster (the son of Daniel Webster) endorses Peter Still and his purpose and agrees to contribute to his cause both monetarily and through his testimony.","1853-01-31","Text","Correspondence","2 p.","rutgers-lib:26690","http://hdl.rutgers.edu/1782.1/rucore00000002022.Manuscript.000051491","doi:10.7282/T3ZG6SCB","Peter Still papers, 1850-1875","Rutgers Community Repository (RUcore)","public domain","http://francescagiannetti.com/still/plugins/Dropbox/files/26690.pdf"
"Pickard, Kate E.R., letter, Camillus, [N.Y.], March 21, 1853, to ""Uncle Peter [Peter Still], [Boston]:","Pickard, Kate E. R.","","Kate Pickard acknowledges the receipt of Peter Still’s letter; relays news that she has received from her sister Julia in Alabama, including concerning his enslaved wife, sons and their owner; and implores Still not to despair over the prospects of gaining his family's freedom.","1853-03-21","Text","Correspondence","4 p.","rutgers-lib:26732","http://hdl.rutgers.edu/1782.1/rucore00000002022.Manuscript.000051492","doi:10.7282/T3BV7GR4","Peter Still papers, 1850-1875","Rutgers Community Repository (RUcore)","public domain","http://francescagiannetti.com/still/plugins/Dropbox/files/26732.pdf"
"King, T[homas] S[tarr], letter, Boston, March 28, 1853:","King, Thomas Starr, 1824-1864","","Letter of introduction for Peter Still written by the Rev. Thomas Starr King.","1853-03-28","Text","Correspondence","3 p.","rutgers-lib:26733","http://hdl.rutgers.edu/1782.1/rucore00000002022.Manuscript.000051494","doi:10.7282/T3GM87DZ","Peter Still papers, 1850-1875","Rutgers Community Repository (RUcore)","public domain","http://francescagiannetti.com/still/plugins/Dropbox/files/26733.pdf"
"Still, William, letter, Anti Slavery Office, Philadelphia, April 29, 1853, to E. Gray Loring, Esq.:","Still, William, 1821-1902","","William Still inquires about Peter's Still's fundraising efforts; requests that Peter be asked to contact him at once; notes that a narrative regarding Seth Conklin and the escape and capture of Peter's family members has been written by the Rev. Wm. H. Furness (but should not be published while they remain enslaved); that a Mr. J.M. McKim has taken a copy of the Conklin narrative to England; and relates how and why it appears that Peter's family can be purchased for the market price of 3,000 dollars, instead of the demanded 5,000 dollars, through the efforts of a Mr. D[avid]. B. Birney of Philadelphia who has an agent in the correct Alabama county.","1853-04-29","Text","Correspondence","2 p.","rutgers-lib:26734","http://hdl.rutgers.edu/1782.1/rucore00000002022.Manuscript.000051496","doi:10.7282/T3MC904P","Peter Still papers, 1850-1875","Rutgers Community Repository (RUcore)","public domain","http://francescagiannetti.com/still/plugins/Dropbox/files/26734.pdf"
"May, Samuel J., letter, Syracuse, N.Y., June 8, 1853, to Dr. Joseph Parrish, Burlington, New Jersey:","May, Samuel J. (Samuel Joseph), 1797-1871","","The Rev. Samuel J. May acknowledges the receipt of a letter from William Lloyd Garrison, with a request signed by Peter Still, asking that 200 dollars which May holds of Still's money be forwarded to Parrish, which sum is enclosed as a bank draft [not present], and requests that certain information be conveyed to Still, including the news that May has “some hope of getting the price demanded for the [enslaved Still] family reduced somewhat—perhaps to $4,000.”","1853-06-08","Text","Correspondence","2 p.","rutgers-lib:26735","http://hdl.rutgers.edu/1782.1/rucore00000002022.Manuscript.000051497","doi:10.7282/T3R49QW2","Peter Still papers, 1850-1875","Rutgers Community Repository (RUcore)","public domain","http://francescagiannetti.com/still/plugins/Dropbox/files/26735.pdf"
"May, Sam[ue]l J., letter, Syracuse, [N.Y.], June 9, [1853], to [Joseph Parrish]","May, Samuel J. (Samuel Joseph), 1797-1871","","The Rev. Samuel J. May reports that he has sent Peter Still's 200 dollars, as requested by William Lloyd Garrison and by the recipient, Joseph Parrish, and requests that if the current attempt to offer $3,000 for the freedom of Peter Still's enslaved family fails, then the writer’s nephew Mr. Hamilton Willis of Boston should be contacted, as the latter individual believes that he can obtain a more favorable price for Still’s family through “gentleman slaveholders whom he had befriended, and who live in Georgia.”","1853-06-09","Text","Correspondence","4 p.","rutgers-lib:26836","http://hdl.rutgers.edu/1782.1/rucore00000002022.Manuscript.000051499","doi:10.7282/T3T72HKJ","Peter Still papers, 1850-1875","Rutgers Community Repository (RUcore)","public domain","http://francescagiannetti.com/still/plugins/Dropbox/files/26836.pdf"
"Smith, Dillwyn, letter, Burlington, New Jersey, June 27, 1853","Smith, Dillwyn","","Letter of introduction for Peter Still written by Dillwyn Smith.","1853-06-27","Text","Correspondence","1 p.","rutgers-lib:26837","http://hdl.rutgers.edu/1782.1/rucore00000002022.Manuscript.000051500","doi:10.7282/T3Z03898","Peter Still papers, 1850-1875","Rutgers Community Repository (RUcore)","public domain","http://francescagiannetti.com/still/plugins/Dropbox/files/26837.pdf"
"May, Samuel J., letter, Syracuse, [N.Y.], July 15, 1853, to one or more unnamed residents of Syracuse","May, Samuel J. (Samuel Joseph), 1797-1871","","Letter of introduction and recommendation for Peter Still written by the Rev. Samuel J. May, which relates facts concerning Still’s biography; reports that Still is engaged in a quest to free his enslaved family members through purchase; notes that approximately 1,500 dollars of the 3,500 dollars necessary have already been obtained; provides space for subscriptions to be noted (none signed by others are listed); and states, in a postscript dated July 27, 1853, that 110 dollars have been raised on Still’s behalf in Syracuse.","1853-07-15","Text","Correspondence","3 p.","rutgers-lib:26838","http://hdl.rutgers.edu/1782.1/rucore00000002022.Manuscript.000051501","doi:10.7282/T32R3RT9","Peter Still papers, 1850-1875","Rutgers Community Repository (RUcore)","public domain","http://francescagiannetti.com/still/plugins/Dropbox/files/26838.pdf"
"May, Samuel J., letter, Syracuse, [N.Y.], August 9, 1853, to Peter Still, Boston (2 p.)","May, Samuel J. (Samuel Joseph), 1797-1871","","The Rev. Samuel J. May acknowledges the receipt of Peter Still’s letter sent from New Bedford, Mass.; relates that the price of slaves is now such that 5,000 dollars, not 3,000 dollars, likely will be needed to purchase the freedom of Still's family (but encourages Still to continue fundraising nonetheless); states that he has not heard any news from Alabama through either Mr. Birney in Philadelphia or Mrs. Pickard; and notes that he is returning Dr. Furness’ Seth Conklin narrative (via his son, John Edward May, who is traveling to Boston to give it to William Lloyd Garrison).","1853-08-09","Text","Correspondence","2 p.","rutgers-lib:26839","http://hdl.rutgers.edu/1782.1/rucore00000002022.Manuscript.000051502","doi:10.7282/T36H4HJ1","Peter Still papers, 1850-1875","Rutgers Community Repository (RUcore)","public domain","http://francescagiannetti.com/still/plugins/Dropbox/files/26839.pdf"
"Neale, Rollin H., letter, Boston, September 5, 1853","Neale, Rollin H. (Rollin Heber), 1808-1879","","Letter of introduction for former slave Peter Still written by Rollin H. Neale which notes, in part: “Peter’s simple narrative has not the dark and dismal shades of Uncle Tom’s [of Uncle Tom’s Cabin], but it is truthful and deeply interesting.”","1853-09-05","Text","Correspondence","1 p.","rutgers-lib:26840","http://hdl.rutgers.edu/1782.1/rucore00000002022.Manuscript.000051504","doi:10.7282/T3B85879","Peter Still papers, 1850-1875","Rutgers Community Repository (RUcore)","public domain","http://francescagiannetti.com/still/plugins/Dropbox/files/26840.pdf"
"Neale, Rollin H., letter, Boston, September 28, 1853","Neale, Rollin H. (Rollin Heber), 1808-1879","","Letter of introduction for Peter Still written by Rollin H. Neale.","1853-09-28","Text","Correspondence","1 p.","rutgers-lib:26841","http://hdl.rutgers.edu/1782.1/rucore00000002022.Manuscript.000051505","doi:10.7282/T3FX79KF","Peter Still papers, 1850-1875","Rutgers Community Repository (RUcore)","public domain","http://francescagiannetti.com/still/plugins/Dropbox/files/26841.pdf"
"May, Sam[ue]l J., letter, Syracuse, [N.Y.], November 2, 1853, to [William Still]","May, Samuel J. (Samuel Joseph), 1797-1871","","The Rev. Samuel J. May acknowledges the receipt of William Still’s letter; requests the names of “Uncle Peter's"" [Peter Still's] wife and children, of the place where they live, of their owner, and of any persons near them who would be sympathetic to the cause of freeing them, to have this information ready to furnish to May's kinsman in Boston, if the latter agrees to help; wonders if Peter should (at least publicly) abandon his quest to free them; and notes that he has 200 dollars of Peter Still's money which is earning seven percent interest. This item is an enclosure in William Still’s letter of November 9, 1853, addressed to Peter Still.","1853-11-02","Text","Correspondence","3 p.","rutgers-lib:26842","http://hdl.rutgers.edu/1782.1/rucore00000002022.Manuscript.000051507","doi:10.7282/T3KP828Q","Peter Still papers, 1850-1875","Rutgers Community Repository (RUcore)","public domain","http://francescagiannetti.com/still/plugins/Dropbox/files/26842.pdf"
"Still, W[illia]m, letter, Anti Slavery Office, Philadelphia, November 9, 1853, to Peter [Still]","Still, William, 1821-1902","","William Still notes that he has not written to the recipient, his brother Peter Still, for some time due to uncertainty regarding Peter’s location; includes a letter of the Rev. S.J. May of Syracuse [see enclosure] which requests information, some of which only Peter can provide; reports that Mr. Birney’s efforts (with regard to arranging for the freedom of Peter’s enslaved family) were both minimal and unsuccessful; and notes that Birney was unhappy with not having more direct access to the money, which is held by Edward M. Davis. This item includes, as an enclosure, Samuel J. May’s letter of November 2, 1853, addressed to [William Still].","1853-11-09","Text","Correspondence","4 p.","rutgers-lib:26843","http://hdl.rutgers.edu/1782.1/rucore00000002022.Manuscript.000051509","doi:10.7282/T3QF8T02","Peter Still papers, 1850-1875","Rutgers Community Repository (RUcore)","public domain","http://francescagiannetti.com/still/plugins/Dropbox/files/26843.pdf"
"Loring, Ellis Gray, letter, Boston, November 16, 1853, to Peter Still","Loring, Ellis Gray, 1803-1858","","Ellis Gray Loring notes the receipt of 250 dollars from Mr. S.S. Wardwell of Providence, which has been credited to the letter’s recipient, Peter Still.","1853-11-16","Text","Correspondence","1 p.","rutgers-lib:26844","http://hdl.rutgers.edu/1782.1/rucore00000002022.Manuscript.000051512","doi:10.7282/T3V69JQC","Peter Still papers, 1850-1875","Rutgers Community Repository (RUcore)","public domain","http://francescagiannetti.com/still/plugins/Dropbox/files/26844.pdf"
"Durfee, Nathan, letter, Fall River, Mass., November 17, 1853, to Peter Still","Durfee, Nathan, 1799-1876","","Nathan Durfee, assuming that a total of 3,500 dollars is required to free Peter Still’s enslaved family, offers to pay 600 dollars to him, once that is the remaining sum which Still requires, provided the family members all then come to live with Durfee and work as servants in his household until the 600 dollars should be paid off. The letter bears the (partly illegible) signature of a witness to Durfee’s offer.","1853-11-17","Text","Correspondence","1 p.","rutgers-lib:26845","http://hdl.rutgers.edu/1782.1/rucore00000002022.Manuscript.000051513","doi:10.7282/T3000272","Peter Still papers, 1850-1875","Rutgers Community Repository (RUcore)","public domain","http://francescagiannetti.com/still/plugins/Dropbox/files/26845.pdf"
"Chase, Stephen A., letter, Salem, [Mass.?], January 12, 1854, to Robert I? Murray, [New York]:","Chase, Stephen A.","","Letter of introduction for Peter Still written by Stephen A. Chase, which notes, in part, that Still’s tale “unfolds a phase in the history of slavery strongly illustrative of its evils, its oppressions, its injustice and its opposition to all that is good and kind and Christian.”","1854-01-12","Text","Correspondence","2 p.","rutgers-lib:26579","http://hdl.rutgers.edu/1782.1/rucore00000002022.Manuscript.000051514","doi:10.7282/T3W37WGW","Peter Still papers, 1850-1875","Rutgers Community Repository (RUcore)","public domain","http://francescagiannetti.com/still/plugins/Dropbox/files/26579.pdf"
"Hoyt, Henry, letter, Boston, January 17, 1854, to Mr. J.P. Williston:","Hoyt, Henry","","Letter of introduction for Peter Still written by Henry Hoyt, which states in part that: “The bearer Peter Sill [sic] is one of God[’]s own poor from the land of bondage who having bought his own body, is now endeavoring to raise money to purchase his wife & children.” Pencil annotations on the letter include the names of four individuals.","1854-01-17","Text","Correspondence","2 p.","rutgers-lib:26691","http://hdl.rutgers.edu/1782.1/rucore00000002022.Manuscript.000051515","doi:10.7282/T33778VM","Peter Still papers, 1850-1875","Rutgers Community Repository (RUcore)","public domain","http://francescagiannetti.com/still/plugins/Dropbox/files/26691.pdf"
"Simpson, John, letter, Florence, Ala., March 27, 1854, to Morris L. Hallowell, Esq.","Simpson, John","","John Simpson reports that Mr. McKeirnan [sic] told him that he would not part with the slaves in question--Peter Still’s family members--for less than 6,000 dollars (as the two boys alone allegedly could be sold for 3,000 dollars each and McKiernan reportedly spent more than 1,000 dollars retrieving the family members when they ran away); notes that McKiernan will not deliver the slaves to Cincinnati, if the funds are paid, but only release them locally; and states that he (Simpson) stands ready to advance the total amount necessary for the transaction, and would then draw on the recipient, Morris L. Hallowell, for the money, if so authorized.","1854-03-27","Text","Correspondence","1 p.","rutgers-lib:26846","http://hdl.rutgers.edu/1782.1/rucore00000002022.Manuscript.000051516","doi:10.7282/T33R0T0J","Peter Still papers, 1850-1875","Rutgers Community Repository (RUcore)","public domain","http://francescagiannetti.com/still/plugins/Dropbox/files/26846.pdf"
"Pickard, Kate E.R., letter, Camillus, [N.Y.], April 24, 1854, to ""Uncle Peter"" [Peter Still]","Pickard, Kate E. R.","","Kate Pickard acknowledges the receipt of Peter Still’s letter; consoles Still regarding news that he has received relating to the price for freeing his enslaved family; relays family news (e.g., of her sister Julia's marriage to Mr. LeGrand Marvin, a lawyer of Buffalo, N.Y.); regrets that his summer fundraising visit to her area the previous year was not as successful as it might have been, had it occurred in the winter; and counsels Still to trust in the Lord.","1854-04-24","Text","Correspondence","3 p.","rutgers-lib:26847","http://hdl.rutgers.edu/1782.1/rucore00000002022.Manuscript.000051517","doi:10.7282/T37D2V83","Peter Still papers, 1850-1875","Rutgers Community Repository (RUcore)","public domain","http://francescagiannetti.com/still/plugins/Dropbox/files/26847.pdf"
"Greeley, Horace, letter, Eve. Journal office, New York, May 10, 1854, to George Dawson [?], Esq., Albany, [N.Y.]","Greeley, Horace, 1811-1872","","Letter of introduction for Peter Still, written by Horace Greeley, which notes, of the sum required to free Still’s family members, that: “It is robbery to pay it, but inhumanity to refuse.”","1854-05-10","Text","Correspondence","1 p.","rutgers-lib:26848","http://hdl.rutgers.edu/1782.1/rucore00000002022.Manuscript.000051518","doi:10.7282/T3C53KZZ","Peter Still papers, 1850-1875","Rutgers Community Repository (RUcore)","public domain","http://francescagiannetti.com/still/plugins/Dropbox/files/26848.pdf"
"Loring, Ellis Gray, letter, Boston, July 7, 1854, to Peter Still","Loring, Ellis Gray, 1803-1858","","Ellis Gray Loring notes the receipt of 300 dollars from Amos Townsend, which has been credited to the letter’s recipient, Peter Still.","1854-07-07","Text","Correspondence","1 p.","rutgers-lib:26849","http://hdl.rutgers.edu/1782.1/rucore00000002022.Manuscript.000051574","doi:10.7282/T3GX4BNX","Peter Still papers, 1850-1875","Rutgers Community Repository (RUcore)","public domain","http://francescagiannetti.com/still/plugins/Dropbox/files/26849.pdf"
"Loring, Ellis Gray (per F.L?S.), letter, Boston, August 30, 1854, to Peter Still, with postscript signed by Frederic L? Seymour","Loring, Ellis Gray, 1803-1858","","Ellis Gray Loring acknowledges the receipt of a letter from the Rev. A.L. Brooks enclosing 300 dollars that has been credited to Peter Still’s account.","1854-08-30","Text","Correspondence","1 p.","rutgers-lib:26850","http://hdl.rutgers.edu/1782.1/rucore00000002022.Manuscript.000051575","doi:10.7282/T3MP53CN","Peter Still papers, 1850-1875","Rutgers Community Repository (RUcore)","public domain","http://francescagiannetti.com/still/plugins/Dropbox/files/26850.pdf"
"Hallowell, Morris L., copy of a letter, Philadelphia, September 19, 1854, to Cha[rle]s A. Gurley, New London, Conn.","Hallowell, Morris Longstreth, 1809-1880","","Morris L. Hallowell acknowledges the receipt of Charles A. Gurley’s letter; expresses delight that Peter Still has had such success in his fundraising efforts (which he will keep secret); states that he sent an agent to Alabama who conferred with John Simpson, but that the agent did not approach the owner of Still’s enslaved family; reports that Simpson has agreed to act as intermediary in the matter, although at the moment the owner will not release the family on any terms (as he “had been so frequently approached” and “his feeling towards Peter was very bitter”); notes that involving the commercial agency of Birney & Goodrich of Philadelphia further would be inappropriate; requests that Still be advised not to take any action on the matter until he (Hallowell) has contacted Still again; and notes that Simpson, unaware that more money has been collected, is only authorized to pay 3,500 dollars for Still’s family.","1854-09-19","Text","Correspondence","3 p.","rutgers-lib:26910","http://hdl.rutgers.edu/1782.1/rucore00000002022.Manuscript.000051576","doi:10.7282/T3X63N2F","Peter Still papers, 1850-1875","Rutgers Community Repository (RUcore)","public domain","http://francescagiannetti.com/still/plugins/Dropbox/files/26910.pdf"
"May, Samuel J., letter, Syracuse, October 7, 1854, to ""Dear Friends""","May, Samuel J. (Samuel Joseph), 1797-1871","","Letter of introduction for Peter Still, written by the Rev. Samuel J. May, that notes Still's status as a former slave and states that Still has raised almost enough money to free his family members who remain in bondage.","1854-10-07","Text","Correspondence","1 p.","rutgers-lib:26911","http://hdl.rutgers.edu/1782.1/rucore00000002022.Manuscript.000051577","doi:10.7282/T31V5F3N","Peter Still papers, 1850-1875","Rutgers Community Repository (RUcore)","public domain","http://francescagiannetti.com/still/plugins/Dropbox/files/26911.pdf"
"Marvin, Julia E.R., letter, October 11, 1854, to Dr. Jno. [John] C. Lord, [Buffalo, N.Y.]","Marvin, Julia E. R. (Julia Reynolds)","","Letter of introduction for Peter Still, written by Julia (Reynolds) Marvin, which briefly recounts Still's life; notes that Still, whom Marvin knew in Alabama, has raised the entire sum for the release of his enslaved family members; and states that Still now seeks added money (200 dollars) to transport them from Alabama to the North.","1854-10-11","Text","Correspondence","3 p.","rutgers-lib:26912","http://hdl.rutgers.edu/1782.1/rucore00000002022.Manuscript.000051578","doi:10.7282/T35M65TZ","Peter Still papers, 1850-1875","Rutgers Community Repository (RUcore)","public domain","http://francescagiannetti.com/still/plugins/Dropbox/files/26912.pdf"
"Taylor, A.M., letter, Cin[cinnati], December 20, 1854, to N. Longworth, Esqr.","Taylor, A. M.","","Letter of introduction for Peter Still, written by A.M. Taylor, which states in part that Still is in Cincinnati from Burlington, New Jersey, ""[a]waiting the arrival of his wife & three children who have been purchased from slavery"" and notes that Still is currently seeking donations to buy clothing and fund the family's travel to New Jersey.","1854-12-20","Text","Correspondence","1 p.","rutgers-lib:26913","http://hdl.rutgers.edu/1782.1/rucore00000002022.Manuscript.000051579","doi:10.7282/T39C6XJ9","Peter Still papers, 1850-1875","Rutgers Community Repository (RUcore)","public domain","http://francescagiannetti.com/still/plugins/Dropbox/files/26913.pdf"
"Pickard, Kate E.R., letter, Camillus, [N.Y.], January 22, 1855, to ""Uncle Peter"" [Peter Still]:","Pickard, Kate E. R.","","Kate Pickard acknowledges the receipt of Peter Still’s letter; rejoices that Still's family is now free and encourages him to thank God for the same; advises that his children should pursue educations; relates how she learned of the Still family’s reunion; laments that the baby (Still’s grandchild) was left behind in Alabama; wonders if efforts to free the infant will delay the appearance of Still’s narrative; and provides news about her family members.","1855-01-22","Text","Correspondence","3 p.","rutgers-lib:26580","http://hdl.rutgers.edu/1782.1/rucore00000002022.Manuscript.000051580","doi:10.7282/T30V8CZV","Peter Still papers, 1850-1875","Rutgers Community Repository (RUcore)","public domain","http://francescagiannetti.com/still/plugins/Dropbox/files/26580.pdf"
